endTime,artistName,trackName,msPlayed
2022-06-26 20:33,Toploader,Dancing in the Moonlight,224206
2022-06-27 05:23,SirLofi,Queen of Disaster,60959
2022-06-27 05:24,The Beatles,Hey Jude - Remastered 2015,16345
2022-06-27 05:25,Billie Eilish,my boy,551
2022-06-27 05:25,Sam Airey,Stars,0
2022-06-27 05:25,Arctic Monkeys,Arabella,3258
2022-06-27 05:25,Gregory Alan Isakov,Caves,743
2022-06-27 05:25,Regina Spektor,Bleeding Heart,23
2022-06-27 05:25,Patti Smith,Because the Night,1153
2022-06-27 05:25,Arctic Monkeys,No. 1 Party Anthem,1580
2022-06-27 05:25,Lorde,Bravado,372
2022-06-27 05:25,The Foundations,Build Me Up Buttercup,815
2022-06-27 05:25,Black Pumas,Colors,937
2022-06-27 05:25,Portugal. The Man,Feel It Still,1114
2022-06-27 05:25,Bishop Briggs,River,903
2022-06-27 05:25,Coldplay,Up&Up,808
2022-06-27 05:25,Shouse,Love Tonight,1013
2022-06-27 05:25,Passenger,Let Her Go,801
2022-06-27 05:25,Gnarls Barkley,Crazy - Single Version,988
2022-06-27 05:25,Alex Clare,Relax My Beloved,720
2022-06-27 05:25,Briston Maroney,Freakin' Out On the Interstate,93018
2022-06-27 05:25,Mark Ronson,Uptown Funk (feat. Bruno Mars),920
2022-06-27 05:25,Adele,When We Were Young,1710
2022-06-27 05:25,M83,Outro,510
2022-06-27 05:25,Lana Del Rey,Diet Mountain Dew,23
2022-06-27 05:26,Panic! At The Disco,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet",1448
2022-06-27 05:26,Hozier,Movement,1310
2022-06-27 05:28,Panic! At The Disco,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet",142013
2022-06-27 05:29,Chase Holfelder,Let's Hurt Tonight,1296
2022-06-27 05:29,Gert Taberner,Fallen,4309
2022-06-27 05:29,Hozier,Movement,79289
2022-06-27 05:31,Odyn v Kanoe,Пообіцяй мені,127703
2022-06-27 05:31,Joaquín Sabina,19 Dias y 500 Noches,833
2022-06-27 05:32,John Lennon,Stand By Me - Ultimate Mix,818
2022-06-27 05:32,Sia,California Dreamin',625
2022-06-27 05:32,Imagine Dragons,Demons,1492
2022-06-27 05:32,M83,Wait,841
2022-06-27 05:32,Gabby Barrett,I Hope (feat. Charlie Puth),798
2022-06-27 05:32,KALEO,Backbone,1480
2022-06-27 05:32,Lana Del Rey,West Coast,474
2022-06-27 05:32,Guitarricadelafuente,Catalina,762
2022-06-27 05:32,Hozier,As It Was,954
2022-06-27 05:32,Gregory Alan Isakov,Suitcase Full of Sparks,1611
2022-06-27 05:32,Imagine Dragons,Birds (feat. Elisa),23
2022-06-27 05:32,Poor Man's Poison,Feed the Machine,933
2022-06-27 05:32,Leiva,Superpoderes,23
2022-06-27 05:32,Oh The Larceny,Man on a Mission,23
2022-06-27 05:32,Natalia Lafourcade,La Llorona,4035
2022-06-27 05:32,Unions,You Better Run,1234
2022-06-27 05:32,Leningrad,Рыба,948
2022-06-27 05:32,M83,My Tears Are Becoming a Sea,1352
2022-06-27 05:32,Guns N' Roses,Knockin' On Heaven's Door,1224
2022-06-27 05:32,League of Legends,Legends Never Die,1099
2022-06-27 05:32,Lana Del Rey,Gods & Monsters,897
2022-06-27 05:32,The Weather Girls,It's Raining Men,7355
2022-06-27 05:32,Gregory Alan Isakov,Chemicals,874
2022-06-27 05:32,NF,Paralyzed,868
2022-06-27 05:32,David Rees,De Ellos Aprendí,1062
2022-06-27 05:32,7линия,Если бы ты смог,620
2022-06-27 05:34,Nothing But Thieves,Crazy,1280
2022-06-27 05:34,Queen,Under Pressure,475
2022-06-27 05:34,Calle 13,Muerte En Hawaii,790
2022-06-27 05:34,Alex Turner,Stuck on the puzzle,753
2022-06-27 05:34,Chica Sobresalto,Melatonina,1526
2022-06-27 05:34,AWOLNATION,Sail,1153
2022-06-27 05:34,Ava Max,Kings & Queens,1094
2022-06-27 05:39,Nothing But Thieves,Crazy,278586
2022-06-27 05:39,Queen,Under Pressure,12857
2022-06-27 05:39,Melendi,Casi,728
2022-06-27 05:39,Muse,Starlight,949
2022-06-27 05:39,7линия,Меняем - альбомная версия,661
2022-06-27 05:42,Loïc Nottet,Mr/Mme,168653
2022-06-27 06:32,Stromae,L’enfer,181419
2022-06-27 07:17,Stromae,L’enfer,189720
2022-06-27 07:20,Stromae,L’enfer,189720
2022-06-27 07:20,Stromae,bâtard,16974
2022-06-27 07:23,Stromae,Silence,6327
2022-06-27 07:23,Stromae,L’enfer,189720
2022-06-27 07:37,Stromae,L’enfer,52967
2022-06-27 08:58,Stromae,L’enfer,265443
2022-06-27 08:58,Grace Carter,Wicked Game,35979
2022-06-27 09:01,Stromae,L’enfer,189720
2022-06-27 09:04,Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",146642
2022-06-27 09:07,Stromae,L’enfer,189720
2022-06-27 09:10,A Great Big World,Fall On Me,167046
2022-06-27 09:13,Stromae,L’enfer,189720
2022-06-27 09:30,A Great Big World,Fall On Me,186470
2022-06-27 09:34,Stromae,L’enfer,189720
2022-06-27 09:36,AWOLNATION,Sail,126560
2022-06-27 09:43,Stromae,L’enfer,129808
2022-06-27 09:48,SirLofi,Queen of Disaster,161645
2022-06-27 09:52,Seafret,Atlantis,229173
2022-06-27 09:54,Delphic,Baiya,84906
2022-06-27 09:57,Hozier,Nina Cried Power,225306
2022-06-27 09:57,Portugal. The Man,Feel It Still,6677
